locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Szczecin Gumieńce,ul. Kazimierska,2,42,585000,13929,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-kazimierska-2-pokojowe-r4g6u2,https://s2.adresowa.pl/oi/6c/70/3a5d24_7c6d_cover-2-pokojowe-mieszkanie-szczecin-gumience-ul-kazimierska.jpg
Szczecin Centrum,,2,47,375000,7979,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-szczecin-centrum-2-pokojowe-47-m2-f8q3c3,https://s2.adresowa.pl/oi/1b/42/3a5d1e_d027_cover-2-pokojowe-mieszkanie-szczecin-centrum.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin,al. Wyzwolenia,1,35,605000,17536,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-szczecin-al-wyzwolenia-1-pokoj-c9j6h1,https://s2.adresowa.pl/oi/45/7c/3a3174_66a0_cover-1-pokojowe-mieszkanie-szczecin-al-wyzwolenia.jpg
Szczecin,,2,38,215000,5658,Oferta biura nieruchomości,ponad tydzień temu,3,https://adresowo.pl/o/mieszkanie-szczecin-2-pokojowe-38-m2-r3o2a8,https://s2.adresowa.pl/oi/5e/6d/3a3076_ea7a_cover-2-pokojowe-mieszkanie-szczecin.jpg
Szczecin,ul. ks. Piotra Ściegiennego,2,54,499000,9190,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-szczecin-ul-ks-piotra-sciegiennego-2-pokojowe-y9c0u9,https://s2.adresowa.pl/oi/1f/33/3a5cde_4d44_cover-2-pokojowe-mieszkanie-szczecin-ul-ks-piotra-sciegiennego.jpg
Szczecin Zdroje,ul. Młodzieży Polskiej,2,30,290000,9667,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-szczecin-zdroje-ul-mlodziezy-polskiej-2-pokojowe-b0k6f6,https://s2.adresowa.pl/oi/2e/7b/3a5c02_bd4b_cover-2-pokojowe-mieszkanie-szczecin-zdroje-ul-mlodziezy-polskiej.jpg
Szczecin Gumieńce,,2,47,620000,13191,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-szczecin-gumience-2-pokojowe-47-m2-v2m5u7,https://s2.adresowa.pl/oi/3e/6e/3a5ab6_d830_cover-2-pokojowe-mieszkanie-szczecin-gumience.jpg
Szczecin Zdroje,ul. Królowej Korony Polskiej,3,64,590000,9232,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-szczecin-zdroje-ul-krolowej-korony-polskiej-3-pokojowe-d6p0x5,https://s2.adresowa.pl/oi/72/66/3a2b70_a20c_cover-3-pokojowe-mieszkanie-szczecin-zdroje-ul-krolowej-korony-polskiej.jpg
